time_enter,time_exit,camera_id,person_id,role,identity,dwell_seconds
12:12:54.71,12:37:26.97,cam3,P0754,customer,identifying,1472.3
12:13:02.79,12:37:45.29,cam3,P0757,worker,w3,1482.5
12:13:33.86,12:38:33.28,cam3,P0760,customer,unknown,1499.4
12:13:59.09,12:14:20.25,cam3,P0762,worker,w3,21.1
12:13:32.02,12:15:02.16,cam3,P0759,worker,w2,90.1
12:14:34.52,13:01:01.45,cam3,P0763,customer,unknown,2786.9
12:15:12.15,12:40:53.92,cam3,P0771,customer,identifying,1541.8
12:15:08.59,12:15:39.39,cam3,P0769,customer,unknown,30.8
12:40:34.44,12:41:17.40,cam2,P0770,customer,unknown,43.0
12:15:14.35,12:41:14.67,cam3,P0772,customer,unknown,1560.3
12:15:21.03,12:15:45.74,cam3,P0765,worker,w2,24.7
12:10:18.84,13:02:10.63,cam3,P0737,worker,w2,3111.8
12:41:31.28,13:02:37.16,cam2,P0776,worker,w2,1265.9
12:03:51.95,12:16:16.98,cam3,P0694,worker,w1,745.0
12:15:02.92,12:42:25.25,cam3,P0766,customer,unknown,1642.3
12:40:41.80,12:42:44.16,cam2,P0773,worker,w3,122.4
12:40:52.20,13:03:24.80,cam2,P0774,worker,w1,1352.6
13:03:00.14,13:03:34.09,cam1,P0778,worker,w2,34.0
13:02:29.63,13:04:08.96,cam1,P0777,worker,w2,99.3
12:42:21.56,13:04:13.12,cam2,P0777,worker,w2,1311.6
12:16:39.93,12:43:22.03,cam3,P0779,customer,unknown,1602.1
12:43:04.24,12:43:25.84,cam2,P0779,customer,unknown,21.6
12:42:51.04,12:43:26.08,cam2,P0780,worker,w1,35.0
12:17:13.04,12:43:39.03,cam3,P0782,customer,unknown,1586.0
12:17:19.80,12:43:59.02,cam3,P0784,worker,w3,1599.2
12:17:16.72,13:04:58.23,cam3,P0783,worker,w2,2861.5
13:01:25.37,13:05:01.23,cam1,P0768,customer,unknown,215.9
12:15:05.40,13:05:01.22,cam3,P0768,worker,w4,2995.8
13:04:48.83,13:05:11.34,cam1,P0788,customer,identifying,22.5
12:18:04.78,13:05:26.14,cam3,P0791,customer,identifying,2841.3
13:03:53.28,13:05:33.86,cam1,P0781,worker,w2,100.6
12:18:04.66,13:06:28.60,cam3,P0790,customer,unknown,2903.9
12:19:19.48,12:45:56.39,cam3,P0795,customer,identifying,1596.9
12:17:42.99,12:45:56.51,cam3,P0786,worker,w3,1693.5
11:59:12.83,12:46:56.85,cam3,P0659,customer,unknown,2864.0
12:20:16.59,13:07:53.94,cam3,P0800,customer,identifying,2857.3
12:20:08.03,13:08:05.81,cam3,P0799,customer,unknown,2877.8
12:19:47.28,12:47:59.79,cam3,P0796,customer,unknown,1692.5
12:20:49.82,12:21:19.17,cam3,P0801,customer,unknown,29.4
12:21:02.13,12:21:34.21,cam3,P0804,customer,unknown,32.1
12:46:35.96,12:48:54.60,cam2,P0798,worker,w1,138.6
12:21:54.16,12:22:20.07,cam3,P0806,customer,unknown,25.9
12:15:50.22,12:49:16.13,cam3,P0775,worker,w1,2005.9
12:19:50.99,12:49:24.05,cam3,P0797,worker,w3,1773.1
12:22:22.55,12:22:44.63,cam3,P0810,customer,unknown,22.1
12:22:04.56,13:10:32.17,cam3,P0807,customer,unknown,2907.6
12:49:42.96,13:10:47.88,cam2,P0811,customer,identifying,1264.9
12:22:54.54,12:23:24.85,cam3,P0813,customer,identifying,30.3
12:22:04.92,13:11:17.04,cam3,P0808,worker,w3,2952.1
12:23:09.10,12:23:27.93,cam3,P0815,customer,unknown,18.8
12:23:16.82,12:50:54.71,cam3,P0803,worker,w3,1657.9
12:47:28.64,12:50:58.64,cam2,P0803,worker,w3,210.0
12:23:12.38,13:11:34.07,cam3,P0817,customer,unknown,2901.7
13:04:51.63,13:11:41.79,cam1,P0789,worker,w3,410.2
12:15:03.04,13:11:41.79,cam3,P0767,worker,w2,3398.8
12:23:31.57,12:23:51.49,cam3,P0821,customer,identifying,19.9
12:23:12.38,13:11:46.27,cam3,P0816,customer,unknown,2913.9
12:23:23.41,12:23:56.08,cam3,P0819,customer,unknown,32.7
12:50:38.16,12:51:31.00,cam2,P0818,worker,w3,52.8
12:23:34.65,13:12:02.19,cam3,P0823,customer,unknown,2907.5
13:11:21.24,13:12:27.50,cam1,P0820,customer,unknown,66.3
12:24:15.12,12:52:10.72,cam3,P0826,customer,unknown,1675.6
12:51:31.84,12:52:36.76,cam2,P0825,worker,w3,64.9
13:13:00.53,13:13:36.56,cam1,P0828,customer,unknown,36.0
12:52:19.12,13:13:40.88,cam2,P0828,customer,unknown,1281.8
12:23:54.41,13:13:41.28,cam3,P0824,worker,w1,2986.9
12:24:29.12,13:13:53.91,cam3,P0827,customer,unknown,2964.8
12:53:18.28,13:14:14.76,cam2,P0833,customer,identifying,1256.5
12:53:09.28,13:14:44.08,cam2,P0831,worker,w2,1294.8
12:25:20.74,12:54:27.56,cam3,P0830,worker,w1,1746.8
12:26:12.13,12:27:01.15,cam3,P0836,customer,unknown,49.0
12:04:01.86,12:54:43.24,cam3,P0697,customer,unknown,3041.4
12:52:50.76,12:54:49.60,cam2,P0829,worker,w4,118.8
12:53:59.04,13:15:54.80,cam2,P0838,worker,w3,1315.8
12:27:08.91,13:16:03.52,cam3,P0844,customer,identifying,2934.6
13:15:09.53,13:16:23.07,cam1,P0840,customer,unknown,73.5
12:54:13.32,13:16:27.44,cam2,P0840,customer,unknown,1334.1
12:26:01.49,12:55:22.19,cam3,P0834,customer,unknown,1760.7
12:54:23.60,12:55:27.52,cam2,P0842,customer,unknown,63.9
12:27:43.70,12:55:35.83,cam3,P0846,customer,identifying,1672.1
13:16:43.95,13:17:09.62,cam1,P0848,customer,identifying,25.7
12:26:43.24,12:55:48.18,cam3,P0841,customer,unknown,1744.9
12:55:41.92,13:17:32.84,cam2,P0849,customer,unknown,1310.9
12:53:41.36,13:17:56.40,cam2,P0835,worker,w2,1455.0
12:27:46.66,12:28:50.84,cam3,P0847,customer,unknown,64.2
12:28:26.01,13:17:59.20,cam3,P0850,customer,unknown,2973.2
13:18:13.00,13:18:36.87,cam1,P0854,customer,identifying,23.9
12:56:59.76,13:19:01.44,cam2,P0855,customer,identifying,1321.7
12:26:27.00,12:29:37.63,cam3,P0839,worker,w3,190.6
12:29:20.11,12:29:42.47,cam3,P0856,customer,unknown,22.4
12:29:52.86,12:30:08.18,cam3,P0865,customer,identifying,15.3
12:29:53.14,12:30:16.86,cam3,P0866,customer,unknown,23.7
12:29:50.70,13:19:49.05,cam3,P0863,customer,unknown,2998.3
12:29:01.56,12:58:13.26,cam3,P0853,customer,unknown,1751.7
12:22:49.02,13:19:50.97,cam3,P0812,worker,w1,3421.9
12:29:52.46,12:30:29.33,cam3,P0864,customer,unknown,36.9
12:29:57.82,12:58:20.74,cam3,P0868,customer,unknown,1702.9
12:29:53.26,13:19:56.45,cam3,P0867,customer,unknown,3003.2
12:57:51.68,12:58:30.32,cam2,P0870,worker,w2,38.6
13:19:36.94,13:20:04.37,cam1,P0851,worker,w3,27.4
12:56:09.32,13:20:08.80,cam2,P0851,worker,w3,1439.5
12:58:28.28,12:58:51.44,cam2,P0875,customer,identifying,23.2
12:29:38.95,12:31:22.68,cam3,P0859,worker,w1,103.7
12:31:43.31,12:59:53.51,cam3,P0880,customer,unknown,1690.2
12:32:01.67,13:00:03.67,cam3,P0881,customer,identifying,1682.0
12:28:38.52,13:21:28.38,cam3,P0852,customer,unknown,3169.9
13:00:27.56,13:00:49.44,cam2,P0887,customer,unknown,21.9
12:32:44.21,13:00:51.42,cam3,P0886,worker,w3,1687.2
13:00:50.28,13:22:17.24,cam2,P0888,customer,identifying,1287.0
12:33:40.68,12:34:17.39,cam3,P0889,customer,unknown,36.7
13:22:14.33,13:22:35.25,cam1,P0890,worker,w1,20.9
13:20:29.36,13:23:21.23,cam1,P0877,worker,w3,171.9
12:34:54.46,13:23:34.71,cam3,P0893,worker,w2,2920.2
12:35:28.17,12:35:53.04,cam3,P0895,customer,identifying,24.9
13:02:52.92,13:23:54.48,cam2,P0896,customer,identifying,1261.6
13:23:23.95,13:24:02.66,cam1,P0894,worker,w2,38.7
13:20:45.52,13:24:26.57,cam1,P0879,worker,w1,221.1
12:35:55.48,13:04:07.68,cam3,P0891,worker,w2,1692.2
13:01:35.40,13:04:11.84,cam2,P0891,worker,w2,156.4
12:20:50.42,12:37:13.82,cam3,P0802,customer,unknown,983.4
13:24:09.74,13:25:01.00,cam1,P0873,worker,w3,51.3
12:58:02.08,13:25:05.52,cam2,P0873,worker,w3,1623.4
13:19:34.50,13:25:11.32,cam1,P0871,worker,w1,336.8
13:04:40.00,13:25:15.84,cam2,P0871,worker,w1,1235.8
12:37:30.49,13:05:14.26,cam3,P0902,worker,w3,1663.8
12:37:27.97,13:25:26.52,cam3,P0901,customer,unknown,2878.5
13:24:30.21,13:25:32.48,cam1,P0899,worker,w1,62.3
12:32:14.10,13:26:15.86,cam3,P0884,worker,w1,3241.8
13:26:12.50,13:26:28.42,cam1,P0908,customer,identifying,15.9
12:39:03.03,13:06:46.99,cam3,P0907,customer,unknown,1664.0
