time,camera_id,people,workers,customers,counter_people,store_hall_people,global_workers
09:26:05.43,cam3,3,1,2,0,2,1
09:40:05.18,cam1,0,0,0,0,0,0
09:34:03.72,cam2,0,0,0,0,0,0
09:26:24.74,cam3,1,0,1,0,0,0
09:40:28.13,cam1,0,0,0,0,0,0
09:34:24.72,cam2,0,0,0,0,0,0
09:26:45.53,cam3,1,0,1,0,0,0
09:40:58.36,cam1,0,0,0,0,0,0
09:34:46.80,cam2,0,0,0,0,0,0
09:27:06.25,cam3,1,0,1,0,0,0
09:41:28.03,cam1,0,0,0,0,0,0
09:35:09.64,cam2,0,0,0,0,0,0
09:27:27.00,cam3,2,0,2,0,0,0
09:41:54.87,cam1,0,0,0,0,0,0
09:35:32.52,cam2,0,0,0,0,0,0
09:27:47.52,cam3,2,0,2,0,1,0
09:42:22.78,cam1,0,0,0,0,0,1
09:35:52.68,cam2,1,1,0,1,0,1
09:28:06.95,cam3,3,1,2,0,2,1
09:42:55.77,cam1,0,0,0,0,0,1
09:36:11.32,cam2,0,0,0,0,0,1
09:28:26.38,cam3,2,0,2,0,1,0
09:43:17.88,cam1,0,0,0,0,1,0
09:36:32.44,cam2,0,0,0,0,0,0
09:28:48.14,cam3,3,0,3,0,1,0
09:43:40.71,cam1,0,0,0,0,0,0
09:36:53.44,cam2,0,0,0,0,0,0
09:29:06.97,cam3,2,0,2,0,1,0
09:44:12.39,cam1,0,0,0,0,0,1
09:37:13.24,cam2,0,0,0,1,0,1
09:29:26.17,cam3,2,1,1,0,1,1
09:44:36.90,cam1,0,0,0,0,2,1
09:37:34.60,cam2,1,0,1,1,0,1
09:29:46.32,cam3,2,1,1,0,1,1
09:45:00.25,cam1,0,0,0,0,0,0
09:37:57.04,cam2,0,0,0,0,0,0
09:30:08.16,cam3,1,0,1,0,0,0
09:45:26.28,cam1,0,0,0,0,1,1
09:38:17.88,cam2,1,0,1,1,0,0
09:30:29.99,cam3,2,0,2,0,1,0
09:45:54.40,cam1,2,0,2,0,3,0
09:38:39.36,cam2,1,0,1,1,0,0
09:30:49.86,cam3,1,0,1,0,0,1
09:46:20.51,cam1,0,0,0,0,0,1
09:38:59.64,cam2,0,0,0,0,0,1
09:31:10.42,cam3,2,1,1,0,1,1
09:46:42.18,cam1,1,1,0,0,3,1
09:39:21.88,cam2,0,0,0,0,0,1
09:31:29.93,cam3,2,0,2,0,0,1
09:47:09.77,cam1,0,0,0,0,1,0
09:39:42.84,cam2,1,1,0,1,0,1
09:31:49.29,cam3,2,0,2,0,1,1
09:47:30.61,cam1,1,1,0,0,1,1
09:40:04.72,cam2,0,0,0,0,0,1
09:32:08.00,cam3,3,1,2,0,2,1
09:47:59.52,cam1,0,0,0,0,0,1
09:40:27.48,cam2,0,0,0,0,0,1
09:32:24.88,cam3,4,1,3,0,2,1
09:48:23.99,cam1,0,0,0,0,0,0
09:40:50.52,cam2,0,0,0,0,0,0
09:32:42.55,cam3,3,0,3,0,2,0
09:48:46.79,cam1,0,0,0,0,2,2
09:41:13.72,cam2,0,0,0,0,0,2
09:33:00.87,cam3,3,2,1,0,2,2
09:49:24.69,cam1,0,0,0,0,0,0
09:41:34.68,cam2,0,0,0,0,0,0
09:33:19.34,cam3,2,0,2,0,1,0
09:49:57.80,cam1,0,0,0,0,0,2
09:41:52.80,cam2,1,1,0,1,0,2
09:33:38.77,cam3,2,1,1,0,1,2
09:50:19.96,cam1,1,1,0,0,1,3
09:42:10.04,cam2,1,1,0,1,0,3
09:33:59.09,cam3,3,2,1,0,2,2
09:50:47.55,cam1,0,0,0,0,0,2
09:42:31.28,cam2,1,0,1,1,0,2
09:34:18.04,cam3,3,2,1,0,2,2
09:51:15.34,cam1,0,0,0,0,1,2
09:42:52.56,cam2,0,0,0,0,0,2
09:34:36.52,cam3,4,2,2,0,3,2
09:51:40.37,cam1,1,1,0,0,1,2
09:43:23.48,cam2,0,0,0,0,0,2
09:34:55.91,cam3,2,1,1,0,1,2
09:52:12.33,cam1,0,0,0,0,0,1
09:43:43.52,cam2,1,0,1,1,0,1
09:35:15.59,cam3,2,1,1,0,1,2
09:52:47.24,cam1,0,0,0,0,0,1
09:44:04.68,cam2,0,0,0,0,0,1
09:35:35.18,cam3,3,1,2,0,2,1
09:53:22.26,cam1,0,0,0,0,0,1
09:44:27.00,cam2,0,0,0,0,0,1
09:35:54.29,cam3,3,2,1,0,2,2
09:53:53.94,cam1,0,0,0,0,0,1
09:44:57.48,cam2,0,0,0,1,0,1
09:36:14.01,cam3,2,1,1,0,1,1
09:54:31.84,cam1,0,0,0,0,0,1
09:45:18.20,cam2,0,0,0,0,0,1
09:36:31.36,cam3,3,0,3,0,2,0
09:55:04.60,cam1,0,0,0,0,0,0
09:45:40.28,cam2,0,0,0,0,0,0
09:36:50.12,cam3,1,0,1,0,0,0
09:55:38.19,cam1,0,0,0,0,0,1
09:46:07.92,cam2,0,0,0,0,0,1
09:37:08.83,cam3,2,1,1,0,1,2
09:56:12.14,cam1,0,0,0,0,0,1
09:46:30.08,cam2,0,0,0,0,0,1
09:37:28.59,cam3,2,1,1,0,1,1
09:56:40.93,cam1,0,0,0,0,0,0
09:46:58.48,cam2,0,0,0,0,0,0
09:37:48.78,cam3,1,0,1,0,0,0
09:57:14.88,cam1,0,0,0,0,0,0
09:47:26.28,cam2,0,0,0,0,0,0
09:38:09.02,cam3,3,0,3,0,2,0
09:57:50.15,cam1,0,0,0,0,0,1
09:47:47.48,cam2,1,0,1,2,0,1
09:38:26.21,cam3,3,1,2,0,2,1
09:58:28.78,cam1,0,0,0,0,0,0
09:48:11.24,cam2,0,0,0,0,0,1
09:38:45.17,cam3,3,1,2,0,2,1
09:59:04.09,cam1,0,0,0,0,0,1
09:48:36.36,cam2,0,0,0,0,0,0
09:39:03.68,cam3,3,0,3,0,2,0
09:59:35.52,cam1,0,0,0,0,0,2
09:48:59.04,cam2,0,0,0,0,0,1
09:39:22.27,cam3,2,1,1,0,1,1
10:00:10.67,cam1,0,0,0,0,0,1
09:49:21.24,cam2,0,0,0,0,0,2
09:39:40.11,cam3,4,2,2,0,3,2
10:00:44.50,cam1,1,1,0,0,1,1
09:49:44.84,cam2,0,0,0,0,0,1
09:39:59.10,cam3,3,2,1,0,2,1
10:01:14.73,cam1,1,0,1,0,2,1
09:50:18.00,cam2,0,0,0,0,0,2
09:40:17.98,cam3,2,1,1,0,1,2
10:01:46.60,cam1,0,0,0,0,0,1
09:50:48.84,cam2,0,0,0,0,0,1
09:40:38.33,cam3,3,1,2,0,2,1
10:02:23.55,cam1,0,0,0,0,0,1
09:51:11.92,cam2,0,0,0,0,0,1
09:40:57.89,cam3,2,1,1,0,1,1
10:02:57.02,cam1,0,0,0,0,0,1
09:51:35.28,cam2,0,0,0,0,0,2
09:41:15.84,cam3,4,2,2,0,3,2
10:03:34.93,cam1,0,0,0,0,0,2
09:51:57.36,cam2,0,0,0,0,0,2
09:41:32.80,cam3,3,2,1,0,3,2
10:04:07.40,cam1,0,0,0,0,0,1
09:52:19.60,cam2,1,0,1,1,0,1
09:41:51.15,cam3,2,1,1,0,1,1
10:04:41.47,cam1,0,0,0,0,0,1
09:52:41.12,cam2,1,0,1,1,0,1
09:42:09.83,cam3,3,2,1,0,2,2
10:05:16.98,cam1,0,0,0,0,0,2
09:53:02.40,cam2,0,0,0,0,0,2
09:42:27.26,cam3,4,1,3,0,3,1
10:05:48.89,cam1,0,0,0,0,0,1
09:53:23.96,cam2,0,0,0,0,0,1
09:42:45.02,cam3,2,1,1,0,1,1
10:06:19.48,cam1,0,0,0,0,0,0
09:53:45.64,cam2,1,0,1,1,0,0
