time_start,time_end,camera_id,previous_state,new_state,duration_seconds,people_ids
09:15:55.72,09:15:56.56,cam2,staffed,unstaffed,0.84,
09:15:56.56,09:15:56.68,cam2,unstaffed,staffed,0.12,
09:15:56.68,09:16:01.60,cam2,staffed,unstaffed,4.92,w1
09:16:01.60,09:16:17.36,cam2,unstaffed,staffed,15.76,
09:16:17.36,09:16:18.44,cam2,staffed,unstaffed,1.08,
09:16:18.44,09:16:18.56,cam2,unstaffed,staffed,0.12,
09:16:18.56,09:16:18.92,cam2,staffed,unstaffed,0.36,
09:16:18.92,09:16:39.20,cam2,unstaffed,staffed,20.28,
09:16:39.20,09:16:40.04,cam2,staffed,unstaffed,0.84,
09:16:40.04,09:16:42.92,cam2,unstaffed,staffed,2.88,
09:16:42.92,09:16:43.16,cam2,staffed,unstaffed,0.24,
09:16:43.16,09:16:44.12,cam2,unstaffed,staffed,0.96,
09:16:44.12,09:16:46.92,cam2,staffed,unstaffed,2.8,
09:16:46.92,09:16:47.88,cam2,unstaffed,staffed,0.96,
09:16:47.88,09:16:48.12,cam2,staffed,unstaffed,0.24,
09:16:48.12,09:16:49.32,cam2,unstaffed,staffed,1.2,
09:16:49.32,09:16:49.92,cam2,staffed,unstaffed,0.6,
09:16:49.92,09:17:19.44,cam2,unstaffed,staffed,29.52,
09:17:19.44,09:17:19.56,cam2,staffed,unstaffed,0.12,
09:17:19.56,09:17:47.56,cam2,unstaffed,staffed,28.0,
09:17:47.56,09:17:49.72,cam2,staffed,unstaffed,2.16,
09:17:49.72,09:17:54.76,cam2,unstaffed,staffed,5.04,
09:17:54.76,09:18:02.08,cam2,staffed,unstaffed,7.32,w1
09:18:02.08,09:18:58.36,cam2,unstaffed,staffed,56.28,
09:18:58.36,09:18:59.92,cam2,staffed,unstaffed,1.56,
09:18:59.92,09:19:28.16,cam2,unstaffed,staffed,28.24,
09:19:28.16,09:19:28.52,cam2,staffed,unstaffed,0.36,
09:19:28.52,09:19:28.64,cam2,unstaffed,staffed,0.12,
09:19:28.64,09:19:29.48,cam2,staffed,unstaffed,0.84,
09:19:29.48,09:19:42.44,cam2,unstaffed,staffed,12.96,
09:19:42.44,09:19:43.04,cam2,staffed,unstaffed,0.6,
09:19:43.04,09:19:43.32,cam2,unstaffed,staffed,0.28,
09:19:43.32,09:19:44.40,cam2,staffed,unstaffed,1.08,
09:19:44.40,09:19:45.36,cam2,unstaffed,staffed,0.96,
09:19:45.36,09:19:45.60,cam2,staffed,unstaffed,0.24,
09:19:45.60,09:19:45.72,cam2,unstaffed,staffed,0.12,
09:19:45.72,09:19:47.64,cam2,staffed,unstaffed,1.92,
09:19:47.64,09:19:47.76,cam2,unstaffed,staffed,0.12,
09:19:47.76,09:19:48.00,cam2,staffed,unstaffed,0.24,
09:19:48.00,09:19:48.48,cam2,unstaffed,staffed,0.48,
09:19:48.48,09:19:48.60,cam2,staffed,unstaffed,0.12,
09:19:48.60,09:19:48.84,cam2,unstaffed,staffed,0.24,
09:19:48.84,09:19:49.08,cam2,staffed,unstaffed,0.24,
09:19:49.08,09:19:49.20,cam2,unstaffed,staffed,0.12,
09:19:49.20,09:19:49.32,cam2,staffed,unstaffed,0.12,
09:19:49.32,09:19:49.56,cam2,unstaffed,staffed,0.24,
09:19:49.56,09:19:50.88,cam2,staffed,unstaffed,1.32,
09:19:50.88,09:19:52.32,cam2,unstaffed,staffed,1.44,
09:19:52.32,09:19:55.44,cam2,staffed,unstaffed,3.12,
09:19:55.44,09:20:43.72,cam2,unstaffed,staffed,48.28,
09:20:43.72,09:20:45.56,cam2,staffed,unstaffed,1.84,
09:20:45.56,09:20:45.68,cam2,unstaffed,staffed,0.12,
09:20:45.68,09:20:59.20,cam2,staffed,unstaffed,13.52,w1
09:20:59.20,09:20:59.32,cam2,unstaffed,staffed,0.12,
09:20:59.32,09:21:01.16,cam2,staffed,unstaffed,1.84,
09:21:01.16,09:21:02.36,cam2,unstaffed,staffed,1.2,
09:21:02.36,09:21:06.40,cam2,staffed,unstaffed,4.04,
09:21:06.40,09:21:28.52,cam2,unstaffed,staffed,22.12,
09:21:28.52,09:21:30.08,cam2,staffed,unstaffed,1.56,
09:21:30.08,09:22:26.24,cam2,unstaffed,staffed,56.16,
09:22:26.24,09:22:27.20,cam2,staffed,unstaffed,0.96,
09:22:27.20,09:22:37.88,cam2,unstaffed,staffed,10.68,
09:22:37.88,09:22:50.44,cam2,staffed,unstaffed,12.56,
09:22:50.44,09:22:51.40,cam2,unstaffed,staffed,0.96,
09:22:51.40,09:22:51.76,cam2,staffed,unstaffed,0.36,
09:22:51.76,09:22:52.12,cam2,unstaffed,staffed,0.36,
09:22:52.12,09:22:52.72,cam2,staffed,unstaffed,0.6,
09:22:52.72,09:22:52.96,cam2,unstaffed,staffed,0.24,
09:22:52.96,09:22:53.08,cam2,staffed,unstaffed,0.12,
09:22:53.08,09:23:26.24,cam2,unstaffed,staffed,33.16,
09:23:26.24,09:23:28.92,cam2,staffed,unstaffed,2.68,
09:23:28.92,09:23:29.04,cam2,unstaffed,staffed,0.12,
09:23:29.04,09:23:46.12,cam2,staffed,unstaffed,17.08,
09:23:46.12,09:24:09.00,cam2,unstaffed,staffed,22.88,
09:24:09.00,09:24:09.96,cam2,staffed,unstaffed,0.96,
09:24:09.96,09:24:10.44,cam2,unstaffed,staffed,0.48,
09:24:10.44,09:24:16.20,cam2,staffed,unstaffed,5.76,w1
09:24:16.20,09:24:19.12,cam2,unstaffed,staffed,2.92,w1
09:24:19.12,09:24:20.08,cam2,staffed,unstaffed,0.96,w1
09:24:20.08,09:24:20.36,cam2,unstaffed,staffed,0.28,
09:24:20.36,09:24:20.48,cam2,staffed,unstaffed,0.12,
09:24:20.48,09:24:29.40,cam2,unstaffed,staffed,8.92,
09:24:29.40,09:24:32.16,cam2,staffed,unstaffed,2.76,w1
09:24:32.16,09:24:46.80,cam2,unstaffed,staffed,14.64,
09:24:46.80,09:24:49.20,cam2,staffed,unstaffed,2.4,
09:24:49.20,09:24:54.88,cam2,unstaffed,staffed,5.68,
09:24:54.88,09:25:06.20,cam2,staffed,unstaffed,11.32,w1
09:25:06.20,09:25:06.80,cam2,unstaffed,staffed,0.6,
09:25:06.80,09:25:16.04,cam2,staffed,unstaffed,9.24,w1
09:25:16.04,09:25:44.36,cam2,unstaffed,staffed,28.32,
09:25:44.36,09:25:46.20,cam2,staffed,unstaffed,1.84,
09:25:46.20,09:26:06.64,cam2,unstaffed,staffed,20.44,
09:26:06.64,09:26:08.56,cam2,staffed,unstaffed,1.92,
09:26:08.56,09:27:46.72,cam2,unstaffed,staffed,98.16,
09:27:46.72,09:27:49.24,cam2,staffed,unstaffed,2.52,
09:27:49.24,09:27:49.36,cam2,unstaffed,staffed,0.12,
09:27:49.36,09:27:50.12,cam2,staffed,unstaffed,0.76,
09:27:50.12,09:27:51.32,cam2,unstaffed,staffed,1.2,
09:27:51.32,09:27:51.92,cam2,staffed,unstaffed,0.6,
09:27:51.92,09:27:52.04,cam2,unstaffed,staffed,0.12,
09:27:52.04,09:27:52.16,cam2,staffed,unstaffed,0.12,
09:27:52.16,09:27:53.24,cam2,unstaffed,staffed,1.08,
09:27:53.24,09:27:53.60,cam2,staffed,unstaffed,0.36,
09:27:53.60,09:27:53.72,cam2,unstaffed,staffed,0.12,
09:27:53.72,09:27:59.84,cam2,staffed,unstaffed,6.12,w1
09:27:59.84,09:28:26.32,cam2,unstaffed,staffed,26.48,
09:28:26.32,09:28:29.84,cam2,staffed,unstaffed,3.52,w1
09:28:29.84,09:28:52.68,cam2,unstaffed,staffed,22.84,w1
09:28:52.68,09:28:52.80,cam2,staffed,unstaffed,0.12,w1
09:28:52.80,09:28:53.04,cam2,unstaffed,staffed,0.24,
09:28:53.04,09:28:54.24,cam2,staffed,unstaffed,1.2,
09:28:54.24,09:28:54.48,cam2,unstaffed,staffed,0.24,
09:28:54.48,09:28:54.84,cam2,staffed,unstaffed,0.36,
09:28:54.84,09:29:26.76,cam2,unstaffed,staffed,31.92,
09:29:26.76,09:29:34.08,cam2,staffed,unstaffed,7.32,w1
09:29:34.08,09:29:34.20,cam2,unstaffed,staffed,0.12,
09:29:34.20,09:29:34.32,cam2,staffed,unstaffed,0.12,
09:29:34.32,09:29:34.44,cam2,unstaffed,staffed,0.12,
09:29:34.44,09:29:34.80,cam2,staffed,unstaffed,0.36,
09:29:34.80,09:29:34.92,cam2,unstaffed,staffed,0.12,
09:29:34.92,09:29:42.40,cam2,staffed,unstaffed,7.48,w1
09:29:42.40,09:29:56.20,cam2,unstaffed,staffed,13.8,
09:29:56.20,09:29:58.00,cam2,staffed,unstaffed,1.8,
09:29:58.00,09:30:23.32,cam2,unstaffed,staffed,25.32,
09:30:23.32,09:30:25.48,cam2,staffed,unstaffed,2.16,
09:30:25.48,09:30:26.32,cam2,unstaffed,staffed,0.84,
09:30:26.32,09:30:26.68,cam2,staffed,unstaffed,0.36,
09:30:26.68,09:30:27.04,cam2,unstaffed,staffed,0.36,
09:30:27.04,09:30:27.52,cam2,staffed,unstaffed,0.48,
09:30:27.52,09:30:31.24,cam2,unstaffed,staffed,3.72,
09:30:31.24,09:30:33.16,cam2,staffed,unstaffed,1.92,
09:30:33.16,09:30:34.12,cam2,unstaffed,staffed,0.96,
09:30:34.12,09:30:48.48,cam2,staffed,unstaffed,14.36,w1
09:30:48.48,09:30:48.72,cam2,unstaffed,staffed,0.24,
09:30:48.72,09:30:52.92,cam2,staffed,unstaffed,4.2,w1
09:30:52.92,09:31:11.28,cam2,unstaffed,staffed,18.36,
09:31:11.28,09:31:12.84,cam2,staffed,unstaffed,1.56,
09:31:12.84,09:31:12.96,cam2,unstaffed,staffed,0.12,
09:31:12.96,09:31:13.20,cam2,staffed,unstaffed,0.24,
09:31:13.20,09:31:50.68,cam2,unstaffed,staffed,37.48,
